cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,blank_col_12,format,stat_type,source,source_url
52917,52917,D Ramdin,WI,D Ramdin (WI),2005-2016,139,137,188,181,7,181,0,5 (5ct 0st),1.372,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
44936,44936,AB de Villiers,Afr/SA,AB de Villiers (Afr/SA),2005-2018,228,223,181,176,5,93,83,5 (5ct 0st),0.811,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
5560,5560,BJ Haddin,AUS,BJ Haddin (AUS),2001-2015,126,124,181,170,11,170,0,5 (5ct 0st),1.459,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
20372,20372,AJ Stewart,ENG,AJ Stewart (ENG),1989-2003,170,169,174,159,15,148,11,6 (6ct 0st),1.029,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
55427,55427,A Flower,ZIM,A Flower (ZIM),1992-2003,213,212,173,141,32,133,8,5 (5ct 0st),0.816,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
581379,581379,SD Hope,WI,SD Hope (WI),2016-2026,150,145,169,154,15,154,0,5 (4ct 1st),1.165,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
253802,253802,V Kohli,IND,V Kohli (IND),2008-2026,311,308,167,167,0,0,167,3 (3ct 0st),0.542,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
46978,46978,DJ Richardson,SA,DJ Richardson (SA),1991-1998,122,121,165,148,17,148,0,5 (5ct 0st),1.363,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
388802,388802,TWM Latham,NZ,TWM Latham (NZ),2012-2026,166,164,162,145,17,114,31,5 (5ct 0st),0.987,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
55814,55814,BRM Taylor,ZIM,BRM Taylor (ZIM),2004-2025,207,207,162,133,29,102,31,5 (5ct 0st),0.782,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
7133,7133,RT Ponting,AUS/ICC,RT Ponting (AUS/ICC),1995-2012,375,372,160,160,0,0,160,3 (3ct 0st),0.43,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
26329,26329,M Azharuddin,IND,M Azharuddin (IND),1985-2000,334,332,156,156,0,0,156,4 (4ct 0st),0.469,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
31036,31036,NR Mongia,IND,NR Mongia (IND),1994-2000,140,139,154,110,44,110,0,5 (4ct 1st),1.107,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
417268,417268,MH Cross,SCOT,MH Cross (SCOT),2014-2026,117,115,150,138,12,138,0,6 (6ct 0st),1.304,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
55805,55805,T Taibu,Afr/ZIM,T Taibu (Afr/ZIM),2001-2012,150,150,147,114,33,112,2,4 (4ct 0st),0.98,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
227760,227760,Sarfaraz Ahmed,PAK,Sarfaraz Ahmed (PAK),2007-2021,117,115,143,119,24,119,0,6 (6ct 0st),1.243,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
38699,38699,LRPL Taylor,NZ,LRPL Taylor (NZ),2006-2022,236,232,142,142,0,0,142,4 (4ct 0st),0.612,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
38117,38117,AC Parore,NZ,AC Parore (NZ),1992-2002,179,178,141,116,25,111,5,5 (3ct 2st),0.792,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
