cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
793463,793463,Rashid Khan,AFG,Rashid Khan (AFG),2015-2026,120,112,6008,NA,NA,4265,214,7/18,NA,19.92,4.25,28,6,6,NA
277912,277912,TA Boult,NZ,TA Boult (NZ),2012-2023,114,113,6180,NA,NA,5146,211,7/34,NA,24.38,4.99,29.2,10,6,NA
56283,56283,Abdur Razzak,BAN,Abdur Razzak (BAN),2004-2014,153,152,7965,NA,NA,6065,207,5/29,NA,29.29,4.56,38.4,5,4,NA
481896,481896,Mohammed Shami,IND,Mohammed Shami (IND),2013-2025,108,107,5326,NA,NA,4955,206,7/57,NA,24.05,5.58,25.8,10,6,NA
37232,37232,CZ Harris,NZ,CZ Harris (NZ),1990-2004,250,232,10667,NA,NA,7613,203,5/42,NA,37.5,4.28,52.5,2,1,NA
6551,6551,CJ McDermott,AUS,CJ McDermott (AUS),1985-1996,138,138,7461,NA,NA,5018,203,5/44,NA,24.71,4.03,36.7,4,1,NA
36597,36597,CL Cairns,ICC/NZ,CL Cairns (ICC/NZ),1991-2006,215,186,8168,NA,NA,6594,201,5/42,NA,32.8,4.84,40.6,3,1,NA
51439,51439,DJ Bravo,WI,DJ Bravo (WI),2004-2014,164,150,6511,NA,NA,5874,199,6/43,NA,29.51,5.41,32.7,6,1,NA
49535,49535,KMDN Kulasekara,SL,KMDN Kulasekara (SL),2003-2017,184,181,8263,NA,NA,6751,199,5/22,NA,33.92,4.9,41.5,4,1,NA
379504,379504,A Zampa,AUS,A Zampa (AUS),2016-2026,121,121,6309,NA,NA,5809,198,5/35,NA,29.33,5.52,31.8,12,1,NA
32345,32345,BKV Prasad,IND,BKV Prasad (IND),1994-2001,161,160,8129,NA,NA,6332,196,5/27,NA,32.3,4.67,41.4,3,1,NA
47492,47492,DW Steyn,Afr/SA,DW Steyn (Afr/SA),2005-2019,125,124,6256,NA,NA,5087,196,6/39,NA,25.95,4.87,31.9,4,3,NA
8192,8192,SR Waugh,AUS,SR Waugh (AUS),1986-2002,325,207,8883,NA,NA,6761,195,4/33,NA,34.67,4.56,45.5,3,0,NA
559235,559235,Kuldeep Yadav,IND,Kuldeep Yadav (IND),2017-2026,121,118,6204,NA,NA,5247,194,6/25,NA,27.04,5.07,31.9,9,2,NA
52066,52066,CL Hooper,WI,CL Hooper (WI),1987-2003,227,203,9573,NA,NA,6958,193,4/34,NA,36.05,4.36,49.6,3,0,NA
330902,330902,Mustafizur Rahman,BAN,Mustafizur Rahman (BAN),2015-2026,123,121,5873,NA,NA,5057,193,6/43,NA,26.2,5.16,30.4,6,6,NA
45821,45821,L Klusener,SA,L Klusener (SA),1996-2004,171,164,7336,NA,NA,5751,192,6/49,NA,29.95,4.7,38.2,1,6,NA
