cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
39091,39091,Abdur Rehman,PAK,False,,,,,,,,,,,,,,,
4625,4625,BB Cooper,AUS,False,,,,,,,,,,,,,,,
