cricinfo_id,input_name,final_full_name,final_display_name,final_first_name,final_last_name,final_country_name,final_date_of_birth,final_date_of_death,final_player_status,status_source,last_played_year,last_played_year_t20s,last_played_year_international,final_batting_style_raw,standard_batting_code,standard_batting_style,final_bowling_style_raw,standard_bowling_code,standard_bowling_style,final_playing_role_raw,playing_role_id,playing_role,bio_error,bio_needs_retry,bio_quality,t20s_bat_matches,t20s_bat_innings,t20s_bat_not_outs,t20s_bat_runs,t20s_bat_high_score,t20s_bat_avg,t20s_bat_balls_faced,t20s_bat_sr,t20s_bat_100s,t20s_bat_50s,t20s_bat_ducks,t20s_bat_4s,t20s_bat_6s,t20s_bowl_matches,t20s_bowl_innings,t20s_bowl_balls,t20s_bowl_overs,t20s_bowl_balls_derived,t20s_bowl_maidens,t20s_bowl_runs,t20s_bowl_wkts,t20s_bowl_bbi,t20s_bowl_bbm,t20s_bowl_avg,t20s_bowl_econ,t20s_bowl_sr,t20s_bowl_4w,t20s_bowl_5w,t20s_bowl_10w,t20s_field_catches,t20s_field_stumpings,t20s_field_dismissals,t20s_field_dismissals_derived,t20s_batting_error,t20s_bowling_error,t20s_fielding_error,playing_role_fill_source,bowling_style_fill_source,game_player_status,game_status_source,batting_style_needs_manual_review,bowling_style_needs_manual_review,bio_retry_result,bio_fill_source
580695,R Neale,Richard Neale,Richard Neale,Richard,Neale,Luxembourg,1980-06-27,,retired,stats_last_played_old,2019,,2019,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0,3,1,,3.0,18,0,30,1,1/30,,30,10,18,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,retired,stats_last_played_old,false,true,success_filled_1,cricinfo_bio_retry
1334805,A Limdawala,Aaftab Limdawala,Aaftab Limdawala,Aaftab,Limdawala,Malawi,2004-06-18,,active,stats_recent_match,2026,2026,2026,Left-hand bat,LHB,Left Hand Bat,,,,UKN,AR,Allrounder,,false,good,57,44,5,678,68,17.38,763,88.85,0,3,2,48,16,57,38,,95.1,571,1,688,28,4/23,,24.57,7.22,20.3,1,0,,31,0,,31,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1050551,Ammar Zuhdi Hazalan,Ammar Zuhdi Hazalan,Ammar Zuhdi Hazalan,Ammar,Hazalan,Malaysia,,,unknown,stats_last_played_uncertain,2022,,2022,Right-hand bat,RHB,Right Hand Bat,,NOBOWL,Non-bowler,UKN,WKT,Wicketkeeper,,true,partial,3,1,0,0,0,0,3,0,0,0,1,0,0,3,-,,-,,-,-,-,-,,-,-,-,-,-,,2,1,,3,,,,t20_stats_inferred,inferred_non_bowler,retired,unknown_old_last_played_game_rule,false,false,success_filled_1,cricinfo_bio_retry
1037533,Rahim Khan,Rahim Khan Bin Malik,Rahim Khan Bin Malik,Rahim,Khan,Malaysia,1999-11-03,,active,stats_recent_match,2026,,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,BWL,Bowler,,false,good,7,1,1,3,3*,-,5,60,0,0,0,0,0,7,7,,22.0,132,0,125,4,3/16,,31.25,5.68,33,0,0,,3,0,,3,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
386982,Abdullah Shahid,Abdullah Shahid,Abdullah Shahid,Abdullah,Shahid,Maldives,1974-04-06,,unknown,stats_last_played_uncertain,2022,,2022,,,,Right-arm medium-fast,RMF,Right Arm Medium Fast,UKN,UKN,Unknown,,true,partial,3,3,0,45,34,15,56,80.35,0,0,0,4,1,3,1,,1.0,6,0,12,0,-,,-,12,-,0,0,,1,0,,1,,,,unknown_not_enough_data,source,retired,unknown_old_last_played_game_rule,true,false,success_filled_1,cricinfo_bio_retry
1400109,Tholal Mohamed Raya,Tholal Mohamed Raya,Tholal Mohamed Raya,Tholal,Raya,Maldives,2006-01-30,,active,stats_recent_match,2023,,2023,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,2,1,0,0,0,0,2,0,0,0,1,0,0,2,2,,5.0,30,1,19,3,2/7,,6.33,3.8,10,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
492687,Fanyan Mughal,Fanyan Majeed Mughal,Fanyan Majeed Mughal,Fanyan,Mughal,Malta,1986-03-10,,active,stats_recent_match,2024,,2024,,,,,,,UKN,AR,Allrounder,,true,partial,24,23,2,279,56,13.28,257,108.56,0,1,2,23,14,24,24,,76.3,459,1,581,22,3/15,,26.4,7.59,20.8,0,0,,6,0,,6,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_1,cricinfo_bio_retry
1448056,R Dianish,Rockey Dianish,Rockey Dianish,Rockey,Dianish,Malta,1987-01-29,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,BAT,Batter,,false,good,24,23,1,408,58,18.54,363,112.39,0,1,2,42,14,24,2,,3.0,18,0,23,1,1/15,,23,7.66,18,0,0,,8,0,,8,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1481335,Hassan Nasir,Hassan Nasir,Hassan Nasir,Hassan,Nasir,Mexico,1993-10-19,,active,stats_recent_match,2026,,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,3,1,1,3,3*,-,3,100,0,0,0,0,0,3,3,,10.0,60,1,52,1,1/13,,52,5.2,60,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1403966,Mukesh Singh,Mukesh Singh,Mukesh Singh,Mukesh,Singh,Mexico,1988-05-24,,active,stats_recent_match,2023,,2023,,,,,NOBOWL,Non-bowler,UKN,UKN,Unknown,,true,partial,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,,-,-,-,-,,-,-,-,-,-,,0,0,,0,,,,unknown_not_enough_data,inferred_non_bowler,active,stats_recent_match,true,false,success_filled_1,cricinfo_bio_retry
1403961,PR Santhanakrishnan,Praveen Rangasamy Santhanakrishnan,Praveen Rangasamy Santhanakrishnan,Praveen,Santhanakrishnan,Mexico,1986-11-20,,active,stats_recent_match,2025,2025,2025,,,,,NOBOWL,Non-bowler,UKN,WKBT,Wicketkeeper batter,,true,partial,22,19,1,262,44*,14.55,257,101.94,0,0,2,27,9,22,1,,1.0,6,0,5,0,-,,-,5,-,0,0,,8,2,,10,,,,t20_stats_inferred,inferred_non_bowler,active,stats_recent_match,true,false,success_filled_1,cricinfo_bio_retry
1182009,S Zargar,Sanjay Zargar,Sanjay Zargar,Sanjay,Zargar,Mexico,1981-06-06,,retired,stats_last_played_old,2019,,2019,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,3.0,18,0,22,2,2/22,,11,7.33,9,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,retired,stats_last_played_old,false,true,success_filled_1,cricinfo_bio_retry
1400087,M Altankhuyag,Mungun Altankhuyag,Mungun Altankhuyag,Mungun,Altankhuyag,Mongolia,2005-06-04,,active,stats_recent_match,2023,,2023,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,2,2,0,8,8,4,25,32,0,0,1,0,0,2,1,,2.0,12,0,55,1,1/55,,55,27.5,12,0,0,,1,0,,1,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
493760,FFZ Nhaduate,Farruque Francisco Zaqueu Nhaduate,Farruque Francisco Zaqueu Nhaduate,Farruque,Nhaduate,Mozambique,2003-01-27,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,15,14,2,365,93,30.41,259,140.92,0,2,2,37,19,15,1,,3.1,19,0,18,2,2/18,,9,5.68,9.5,0,0,,10,3,,13,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
625385,NZ Nhaduate,Nelson Zaqueu Nhaduate,Nelson Zaqueu Nhaduate,Nelson,Nhaduate,Mozambique,2005-10-02,,active,stats_recent_match,2023,,2023,Right-hand bat,RHB,Right Hand Bat,,,,UKN,UKN,Unknown,,false,good,2,1,0,8,8,8,15,53.33,0,0,0,0,0,2,2,,5.0,30,0,36,1,1/24,,36,7.2,30,0,0,,0,0,,0,,,,unknown_not_enough_data,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1155506,SF Nhavotso,Shelton Firmino Nhavotso,Shelton Firmino Nhavotso,Shelton,Nhavotso,Mozambique,2003-06-18,,retired,stats_last_played_old,2021,,2021,,,,,,,UKN,UKN,Unknown,,true,partial,4,3,0,12,5,4,26,46.15,0,0,0,0,0,4,3,,5.2,32,0,40,1,1/33,,40,7.5,32,0,0,,2,0,,2,,,,unknown_not_enough_data,still_missing_but_player_bowled,retired,stats_last_played_old,true,true,success_filled_1,cricinfo_bio_retry
1155501,VE Tembo,Vieira Ermelindo Tembo,Vieira Ermelindo Tembo,Vieira,Tembo,Mozambique,2002-11-04,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,38,32,7,397,47*,15.88,358,110.89,0,0,6,43,9,38,6,,17.0,102,0,152,4,2/24,,38,8.94,25.5,0,0,,5,1,,6,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1116743,Thuya Aung,Thuya Aung,Thuya Aung,Thuya,Aung,Myanmar,1994-06-07,,active,stats_recent_match,2025,2025,2025,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,32,31,3,305,37,10.89,520,58.65,0,0,3,21,5,32,21,,60.4,364,5,367,19,3/7,,19.31,6.04,19.1,0,0,,6,1,,7,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1425190,SPS Shikongo,Simon Petrus Shikongo,Simon Petrus Shikongo,Simon,Shikongo,Namibia,,,active,stats_recent_match,2025,2025,2024,Right-hand bat,RHB,Right Hand Bat,Right-arm medium-fast,RMF,Right Arm Medium Fast,Bowler,BWL,Bowler,,true,partial,7,2,1,18,17,18,14,128.57,0,0,0,1,0,7,6,,13.0,78,0,78,5,2/18,,15.6,6,15.6,0,0,,2,0,,2,,,,source,source,active,stats_recent_match,false,false,success_filled_0,
633527,H Shah,Harishankar Shah,Harishankar Shah,Harishankar,Shah,Nepal,,,unknown,stats_last_played_uncertain,2022,,2022,Left-hand bat,LHB,Left Hand Bat,,NOBOWL,Non-bowler,UKN,UKN,Unknown,,true,partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown_not_enough_data,inferred_non_bowler,retired,unknown_old_last_played_game_rule,false,false,success_filled_1,cricinfo_bio_retry
1098931,K Thagunna,Kiran Thagunna,Kiran Thagunna,Kiran,Thagunna,Nepal,,,active,stats_recent_match,2025,2025,2025,Right-hand bat,RHB,Right Hand Bat,Right-arm fast,RF,Right Arm Fast,UKN,UKN,Unknown,,true,partial,4,4,0,30,15,7.5,52,57.69,0,0,0,1,0,4,-,,-,,-,-,-,-,,-,-,-,-,-,,0,0,,0,,,,unknown_not_enough_data,source,active,stats_recent_match,false,false,success_filled_1,cricinfo_bio_retry
1111123,R Dhakal,Rijan Dhakal,Rijan Dhakal,Rijan,Dhakal,Nepal,,,active,stats_recent_match,2025,,2025,Right-hand bat,RHB,Right Hand Bat,Left-arm medium,LM,Left Arm Medium,Bowler,BWL,Bowler,,true,partial,8,2,1,6,5,6,6,100,0,0,0,0,0,8,8,,26.0,156,0,210,6,2/17,,35,8.07,26,0,0,,5,0,,5,,,,source,source,active,stats_recent_match,false,false,success_filled_0,
1296273,Rupesh Singh,Rupesh SIngh,Rupesh SIngh,Rupesh,Singh,Nepal,,,active,stats_recent_match,2025,,2025,Right-hand bat,RHB,Right Hand Bat,Right-arm medium-fast,RMF,Right Arm Medium Fast,UKN,BAT,Batter,,true,partial,4,3,1,65,43*,32.5,43,151.16,0,0,0,2,4,4,3,,10.0,60,0,96,2,1/32,,48,9.6,30,0,0,,2,0,,2,,,,t20_stats_inferred,source,active,stats_recent_match,false,false,success_filled_1,cricinfo_bio_retry
36627,CD Cumming,Craig Derek Cumming,Craig Derek Cumming,Craig,Cumming,New Zealand,1975-08-31,,retired,stats_last_played_old,2012,2012,2009,Right-hand bat,RHB,Right Hand Bat,,,,Opening batter,OP,Opener,,false,good,44,40,4,843,76,23.41,658,128.11,0,3,0,90,24,44,13,,22.5,137,0,179,13,4/24,,13.76,7.83,10.5,1,0,,19,0,,19,,,,source,still_missing_but_player_bowled,retired,stats_last_played_old,false,true,success_filled_0,
1176871,AE Isesele,Akhere Elisha Isesele,Akhere Elisha Isesele,Akhere,Isesele,Nigeria,2001-05-28,,active,stats_recent_match,2025,2025,2025,Right-hand bat,RHB,Right Hand Bat,,,,UKN,BWL,Bowler,,false,good,21,20,5,141,44,9.4,148,95.27,0,0,2,11,4,21,6,,8.5,53,0,79,4,1/5,,19.75,8.94,13.2,0,0,,5,0,,5,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1204052,Gershon Yusuf,Gershon Yusuf,Gershon Yusuf,Gershon,Yusuf,Nigeria,,,retired,stats_last_played_old,2019,,2019,,,,,NOBOWL,Non-bowler,UKN,UKN,Unknown,,true,partial,1,1,0,0,0,0,1,0,0,0,1,0,0,1,-,,-,,-,-,-,-,,-,-,-,-,-,,1,0,,1,,,,unknown_not_enough_data,inferred_non_bowler,retired,stats_last_played_old,true,false,success_filled_1,cricinfo_bio_retry
1158761,Ovais Yousof,Ovais Yousof,Ovais Yousof,Ovais,Yousof,Nigeria,1980-01-03,,retired,stats_last_played_old,2019,,2019,,,,,NOBOWL,Non-bowler,UKN,BAT,Batter,,true,partial,7,7,0,116,37,16.57,142,81.69,0,0,0,11,1,7,-,,-,,-,-,-,-,,-,-,-,-,-,,0,0,,0,,,,t20_stats_inferred,inferred_non_bowler,retired,stats_last_played_old,true,false,success_filled_1,cricinfo_bio_retry
1143136,VD Adewoye,Vincent Dimeji Adewoye,Vincent Dimeji Adewoye,Vincent,Adewoye,Nigeria,2000-05-23,,active,stats_recent_match,2026,2026,2026,,,,,,,UKN,AR,Allrounder,,true,partial,53,45,7,459,49,12.07,373,123.05,0,0,7,34,22,53,22,,52.1,313,1,444,18,4/18,,24.66,8.51,17.3,2,0,,16,0,,16,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_1,cricinfo_bio_retry
523825,Ali Saleem,Ali Saleem,Ali Saleem,Ali,Saleem,Norway,1979-09-13,,active,stats_recent_match,2024,2024,2024,Right-hand bat,RHB,Right Hand Bat,,,,UKN,BAT,Batter,,false,good,21,16,1,239,53*,15.93,211,113.27,0,1,0,15,11,21,1,,1.0,6,0,4,1,1/4,,4,4,6,0,0,,5,0,,5,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1271990,KD Abeyrathna,Kuruge Darshana Abeyrathna,Kuruge Darshana Abeyrathna,Kuruge,Abeyrathna,Norway,1991-05-26,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,Wicketkeeper batter,WKBT,Wicketkeeper batter,,false,good,40,38,4,663,46*,19.5,677,97.93,0,0,1,58,15,40,22,,56.4,340,2,392,22,3/14,,17.81,6.91,15.4,0,0,,13,1,,14,,,,source,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_0,
40113,Faisal Athar,Faisal Athar,Faisal Athar,Faisal,Athar,Pakistan,1975-10-15,,retired,stats_last_played_old,2015,2015,2003,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,32,32,6,787,66*,30.26,723,108.85,0,5,3,94,12,32,1,,2.0,12,0,7,3,3/7,,2.33,3.5,4,0,0,,2,4,,6,,,,t20_stats_inferred,still_missing_but_player_bowled,retired,stats_last_played_old,false,true,success_filled_1,cricinfo_bio_retry
1509242,Abdul Makda,Abdul Makda,Abdul Makda,Abdul,Makda,Panama,,,active,stats_recent_match,2025,,2025,Right-hand bat,RHB,Right Hand Bat,Right-arm offbreak,OB,Right Arm Off Break,UKN,UKN,Unknown,,true,partial,2,-,-,-,-,-,-,-,-,-,-,-,-,2,1,,4.0,24,0,17,1,1/17,,17,4.25,24,0,0,,0,0,,0,,,,unknown_not_enough_data,source,active,stats_recent_match,false,false,success_filled_1,cricinfo_bio_retry
1399353,LR Gaonkar,Laxman Ramakant Gaonkar,Laxman Ramakant Gaonkar,Laxman,Gaonkar,Panama,1988-04-20,,active,stats_recent_match,2025,2025,2025,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,6,6,0,67,23,11.16,80,83.75,0,0,0,4,1,6,2,,6.0,36,0,43,1,1/21,,43,7.16,36,0,0,,1,1,,2,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1403970,Ronitkumar Ahir,Ronitkumar Ahir,Ronitkumar Ahir,Ronitkumar,Ahir,Panama,1994-11-30,,active,stats_recent_match,2025,,2025,,,,,,,UKN,BWL,Bowler,,true,partial,3,2,0,8,6,4,10,80,0,0,0,0,0,3,3,,12.0,72,0,29,11,4/8,,2.63,2.41,6.5,2,0,,0,0,,0,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_1,cricinfo_bio_retry
1295871,Aue Oru,Aue Oru,Aue Oru,Aue,Oru,Papua New Guinea,2003-07-31,,active,stats_recent_match,2026,,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,BWL,Bowler,,false,good,6,1,0,4,4,4,11,36.36,0,0,0,0,0,6,6,,17.0,102,0,88,10,4/11,,8.8,5.17,10.2,2,0,,2,0,,2,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
1276399,JWW Gardner,Jack Wandil William Gardner,Jack Wandil William Gardner,Jack,Gardner,Papua New Guinea,2000-12-23,,active,stats_recent_match,2024,,2024,,,,,,,Bowler,BWL,Bowler,,true,partial,6,2,1,0,0*,0,3,0,0,0,1,0,0,6,6,,17.0,102,0,141,3,2/27,,47,8.29,34,0,0,,2,0,,2,,,,source,still_missing_but_player_bowled,active,stats_recent_match,true,true,success_filled_0,
1362934,Michael Charlie,Michael Charlie,Michael Charlie,Michael,Charlie,Papua New Guinea,,,active,stats_recent_match,2023,,2023,Right-hand bat,RHB,Right Hand Bat,Right-arm medium,RM,Right Arm Medium,UKN,UKN,Unknown,,true,partial,2,1,0,0,0,0,2,0,0,0,1,0,0,2,2,,5.0,30,0,28,2,1/12,,14,5.6,15,0,0,,1,0,,1,,,,unknown_not_enough_data,source,active,stats_recent_match,false,false,success_filled_1,cricinfo_bio_retry
1115033,SK Atai,Simon Kwalahu Atai,Simon Kwalahu Atai,Simon,Atai,Papua New Guinea,1999-09-19,,unknown,stats_last_played_uncertain,2022,2022,2022,Left-hand bat,LHB,Left Hand Bat,,,,Wicketkeeper batter,WKBT,Wicketkeeper batter,,false,good,18,12,3,64,28*,7.11,60,106.66,0,0,4,5,1,18,9,,15.0,90,0,110,3,1/6,,36.66,7.33,30,0,0,,6,0,,6,,,,source,still_missing_but_player_bowled,retired,unknown_old_last_played_game_rule,false,true,success_filled_0,
302845,TP Ura,Tony Pala Ura,Tony Pala Ura,Tony,Ura,Papua New Guinea,1989-10-15,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,Opening batter,OP,Opener,,false,good,87,86,9,2493,107*,32.37,1678,148.56,3,18,5,197,134,87,2,,3.0,18,0,21,1,1/12,,21,7,18,0,0,,28,0,,28,,,,source,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_0,
1082762,HER Tyler,Henry Ernest Roy Tyler,Henry Ernest Roy Tyler,Henry,Tyler,Philippines,1992-01-02,,active,stats_recent_match,2026,2026,2026,Right-hand bat,RHB,Right Hand Bat,,,,UKN,WKBT,Wicketkeeper batter,,false,good,39,33,4,408,46*,14.06,339,120.35,0,0,5,38,19,39,20,,65.4,394,0,589,22,4/18,,26.77,8.96,17.9,1,0,,15,3,,18,,,,t20_stats_inferred,still_missing_but_player_bowled,active,stats_recent_match,false,true,success_filled_1,cricinfo_bio_retry
