unique_player_id,format,HasBowlingDetail,DetailBalls,DetailMaidens,DetailRunsConceded,DetailOvers
414248,odi,TRUE,409,3,353,68.1
414249,odi,FALSE,NA,NA,NA,NA
41434,odi,TRUE,7733,48,5400,1288.5
41434,test,TRUE,4067,118,1808,677.5
414397,odi,FALSE,NA,NA,NA,NA
4144,odi,TRUE,1966,4,1655,327.4
4144,test,TRUE,1285,30,703,214.1
41440,odi,FALSE,NA,NA,NA,NA
41452,odi,TRUE,144,0,144,24.0
41452,test,TRUE,290,3,200,48.2
4146,odi,TRUE,3257,28,2463,542.5
4146,test,TRUE,3337,111,1870,556.1
41481,odi,FALSE,NA,NA,NA,NA
41481,test,FALSE,NA,NA,NA,NA
414821,odi,TRUE,559,1,490,93.1
414821,test,TRUE,410,14,204,68.2
414966,odi,TRUE,2894,13,2439,482.2
414969,odi,TRUE,270,3,208,45.0
414970,odi,TRUE,4270,43,3580,711.4
414971,odi,FALSE,NA,NA,NA,NA
414973,odi,FALSE,NA,NA,NA,NA
414985,odi,FALSE,NA,NA,NA,NA
414990,odi,TRUE,947,5,980,157.5
414990,test,TRUE,612,23,343,102.0
4151,odi,FALSE,NA,NA,NA,NA
4153,test,FALSE,NA,NA,NA,NA
4154,test,TRUE,1260,51,444,210.0
41557,test,FALSE,NA,NA,NA,NA
4161,odi,TRUE,749,3,646,124.5
4161,test,TRUE,1436,60,720,239.2
416103,odi,TRUE,1364,14,1154,227.2
416190,odi,FALSE,NA,NA,NA,NA
4167,test,TRUE,246,16,84,41.0
4169,odi,TRUE,82,0,86,13.4
4169,test,TRUE,36,3,14,6.0
4171,test,TRUE,434,27,146,72.2
417268,odi,FALSE,NA,NA,NA,NA
417381,odi,TRUE,4523,38,3459,753.5
417381,test,TRUE,2560,56,1475,426.4
4174,odi,TRUE,2659,11,2071,443.1
4174,test,TRUE,3911,197,1525,651.5
4183,test,TRUE,2613,175,641,435.3
4185,odi,TRUE,5759,90,4240,959.5
4185,test,TRUE,1110,53,505,185.0
418615,odi,TRUE,445,1,413,74.1
418617,odi,FALSE,NA,NA,NA,NA
4188,test,TRUE,158,3,72,26.2
41919,odi,TRUE,642,11,374,107.0
41919,test,TRUE,3336,124,1456,556.0
41963,odi,TRUE,48,1,44,8.0
41984,odi,TRUE,876,4,810,146.0
419873,odi,FALSE,NA,NA,NA,NA
419873,test,FALSE,NA,NA,NA,NA
420341,odi,FALSE,NA,NA,NA,NA
420402,odi,FALSE,NA,NA,NA,NA
420402,test,FALSE,NA,NA,NA,NA
42041,test,FALSE,NA,NA,NA,NA
420419,odi,FALSE,NA,NA,NA,NA
420427,odi,TRUE,710,1,576,118.2
42044,odi,TRUE,342,4,230,57.0
42044,test,TRUE,48,1,20,8.0
42047,odi,TRUE,96,0,81,16.0
42047,test,TRUE,432,10,230,72.0
42051,odi,TRUE,42,0,52,7.0
42055,odi,TRUE,180,5,98,30.0
42057,odi,FALSE,NA,NA,NA,NA
42057,test,TRUE,4398,204,1959,733.0
42059,odi,FALSE,NA,NA,NA,NA
42061,test,FALSE,NA,NA,NA,NA
42062,odi,TRUE,472,2,344,78.4
42062,test,TRUE,342,14,162,57.0
42064,test,FALSE,NA,NA,NA,NA
42066,odi,TRUE,48,0,51,8.0
42066,test,FALSE,NA,NA,NA,NA
42068,test,TRUE,12,1,4,2.0
42069,test,TRUE,294,14,94,49.0
42071,odi,TRUE,60,0,43,10.0
4208,odi,TRUE,448,3,350,74.4
4208,test,TRUE,5541,298,2180,923.3
4210,test,TRUE,60,4,19,10.0
42106,odi,TRUE,240,3,172,40.0
42160,odi,TRUE,60,1,59,10.0
421892,odi,TRUE,60,0,67,10.0
422108,odi,FALSE,NA,NA,NA,NA
422108,test,FALSE,NA,NA,NA,NA
4225,test,FALSE,NA,NA,NA,NA
42272,odi,TRUE,3466,25,3221,577.4
42272,test,TRUE,1565,36,1044,260.5
4228,test,TRUE,1303,72,440,217.1
422847,odi,TRUE,1483,16,1014,247.1
422871,odi,TRUE,96,0,95,16.0
422871,test,TRUE,7163,184,3828,1193.5
422965,odi,TRUE,360,1,324,60.0
42321,odi,FALSE,NA,NA,NA,NA
42321,test,FALSE,NA,NA,NA,NA
42323,odi,TRUE,114,2,77,19.0
42324,test,TRUE,4057,217,1410,676.1
42362,odi,FALSE,NA,NA,NA,NA
42362,test,TRUE,6,1,0,1.0
42383,test,TRUE,96,3,35,16.0
4241,test,FALSE,NA,NA,NA,NA
4242,test,TRUE,666,41,230,111.0
42420,odi,TRUE,6,0,10,1.0
42420,test,FALSE,NA,NA,NA,NA
42421,odi,TRUE,1414,33,923,235.4
42421,test,TRUE,738,32,360,123.0
42423,odi,FALSE,NA,NA,NA,NA
42423,test,TRUE,12,0,10,2.0
42426,test,TRUE,204,3,99,34.0
42428,odi,FALSE,NA,NA,NA,NA
42428,test,TRUE,132,7,46,22.0
42430,odi,TRUE,24,0,26,4.0
424377,odi,TRUE,48,0,49,8.0
4245,test,FALSE,NA,NA,NA,NA
4250,test,FALSE,NA,NA,NA,NA
425639,odi,TRUE,4254,55,3752,709.0
425639,test,TRUE,1824,92,728,304.0
42590,test,TRUE,186,10,87,31.0
425943,odi,FALSE,NA,NA,NA,NA
42599,odi,TRUE,27,0,29,4.3
42601,odi,TRUE,38,1,26,6.2
42601,test,TRUE,180,5,98,30.0
42603,test,TRUE,1954,89,802,325.4
42605,odi,TRUE,242,3,191,40.2
42605,test,TRUE,48,3,23,8.0
42607,odi,FALSE,NA,NA,NA,NA
42610,odi,FALSE,NA,NA,NA,NA
42612,odi,TRUE,60,1,45,10.0
42615,test,TRUE,546,27,187,91.0
42616,odi,TRUE,247,2,151,41.1
42616,test,TRUE,3637,122,1710,606.1
42620,odi,TRUE,6,0,10,1.0
42620,test,FALSE,NA,NA,NA,NA
42623,odi,TRUE,3505,10,2959,584.1
42623,test,TRUE,734,20,414,122.2
42624,odi,FALSE,NA,NA,NA,NA
42626,odi,FALSE,NA,NA,NA,NA
42626,test,FALSE,NA,NA,NA,NA
