unique_player_id,format,HasBattingDetail,DetailBallsFaced,DetailFours,DetailSixes
1124283,odi,TRUE,225,16,2
1124290,test,TRUE,212,11,0
1125317,odi,TRUE,2,0,0
1125536,odi,TRUE,21,1,0
1125867,odi,TRUE,252,12,7
1125976,odi,TRUE,56,4,3
1126002,odi,TRUE,10,0,0
1126045,odi,TRUE,225,21,2
1126045,test,TRUE,1069,72,5
1126253,odi,TRUE,73,1,1
1126694,odi,TRUE,119,8,0
1127317,odi,TRUE,2481,164,18
1129328,odi,TRUE,976,60,31
1129635,test,FALSE,NA,NA,NA
1131754,odi,TRUE,1,0,0
1134962,test,TRUE,13,2,0
1136106,odi,TRUE,58,0,3
1138316,odi,TRUE,624,24,3
1138316,test,TRUE,149,6,1
1139028,odi,TRUE,312,17,2
1139511,odi,TRUE,129,13,3
1139516,test,TRUE,40,5,0
1139520,odi,TRUE,183,9,7
1139520,test,TRUE,80,2,1
1139523,odi,TRUE,140,12,13
1141934,odi,TRUE,908,66,46
1147414,test,TRUE,62,2,0
1147980,odi,TRUE,41,0,0
1148466,odi,TRUE,41,2,0
1148593,test,TRUE,259,22,0
1150681,odi,FALSE,NA,NA,NA
1150684,odi,TRUE,5,0,0
1150772,odi,TRUE,9,1,0
1150772,test,TRUE,284,23,6
1151278,odi,TRUE,292,34,7
1151278,test,TRUE,3835,317,45
1151288,odi,TRUE,142,17,1
1151288,test,TRUE,884,51,0
1152427,odi,TRUE,538,36,12
1152427,test,TRUE,47,3,0
1153148,test,TRUE,120,10,0
1153767,odi,TRUE,1820,143,16
1156689,odi,TRUE,111,4,0
1156690,odi,TRUE,533,25,12
1158088,odi,TRUE,253,13,12
1158088,test,TRUE,457,15,8
1158100,odi,TRUE,34,9,1
1158175,odi,TRUE,2,0,0
1158175,test,TRUE,66,0,0
1159495,test,TRUE,240,12,1
1159641,odi,TRUE,2937,193,34
1159653,odi,TRUE,120,6,4
1159711,odi,TRUE,4,0,0
1160970,odi,TRUE,91,1,0
1161018,odi,TRUE,32,0,0
1161022,odi,TRUE,67,5,2
1161031,odi,TRUE,751,88,21
1161031,test,TRUE,657,38,4
1161038,odi,TRUE,599,43,10
1161044,odi,TRUE,86,3,3
1161050,odi,TRUE,535,38,10
1161050,test,TRUE,113,8,1
1161381,test,TRUE,2508,129,7
1161606,odi,TRUE,144,6,9
1161606,test,TRUE,34,0,0
1161669,odi,TRUE,6,0,0
1163695,odi,TRUE,4,0,0
1167806,odi,TRUE,7,2,0
1168049,odi,TRUE,74,13,4
1168651,odi,TRUE,33,4,2
1168667,odi,TRUE,35,1,0
1168667,test,TRUE,3073,129,7
1170265,odi,TRUE,119,6,1
1170471,odi,TRUE,24,0,0
1171127,odi,TRUE,14,0,0
1171134,odi,FALSE,NA,NA,NA
1171180,odi,TRUE,238,17,3
11718,test,TRUE,2150,84,3
11724,odi,TRUE,232,12,1
11724,test,TRUE,253,8,1
11728,odi,TRUE,4154,363,10
11728,test,TRUE,26562,1442,11
1172968,odi,TRUE,86,5,1
1174024,odi,TRUE,800,33,25
1174716,odi,FALSE,NA,NA,NA
1174726,odi,TRUE,14,0,0
1174749,odi,TRUE,20,2,0
1174749,test,TRUE,15,0,0
1175426,test,TRUE,41,2,2
1175428,test,TRUE,3,0,0
1175441,odi,TRUE,2,1,0
1175488,test,TRUE,843,51,10
1175496,odi,TRUE,99,3,5
1175496,test,TRUE,691,40,10
1176959,test,TRUE,303,20,6
1178065,odi,TRUE,467,38,6
1178066,odi,TRUE,60,4,0
1178586,odi,TRUE,2731,180,16
1179855,odi,TRUE,6,1,0
1181708,odi,TRUE,136,8,2
1182529,odi,TRUE,64,5,0
11843,test,TRUE,0,0,0
1184436,test,TRUE,90,6,0
1184439,odi,TRUE,410,23,3
11848,test,TRUE,363,14,0
11855,test,TRUE,0,0,0
1185538,odi,TRUE,101,7,5
1185538,test,TRUE,74,5,2
1185557,odi,FALSE,NA,NA,NA
1186229,odi,TRUE,28,2,0
11865,odi,TRUE,823,46,10
11865,test,TRUE,1691,103,8
1186658,odi,TRUE,100,4,1
11870,odi,TRUE,417,17,2
11870,test,TRUE,3786,192,2
11875,test,TRUE,0,23,0
11883,test,TRUE,6,10,0
11886,test,TRUE,2623,513,16
11893,odi,TRUE,133,11,0
11893,test,TRUE,1494,63,0
11898,test,TRUE,0,3,0
11910,test,TRUE,0,9,0
1191192,odi,TRUE,1,0,0
1191192,test,TRUE,45,1,0
1191381,odi,TRUE,531,41,2
11914,odi,TRUE,43,3,0
11914,test,TRUE,5039,298,14
11918,test,TRUE,2,1,0
11919,test,TRUE,4,0,0
11927,test,TRUE,1328,51,0
11931,odi,TRUE,358,13,0
11931,test,TRUE,2676,67,0
1193293,odi,TRUE,126,10,4
1193304,odi,TRUE,50,1,1
1193310,odi,TRUE,1882,119,26
1193528,odi,TRUE,86,9,2
1193546,odi,TRUE,12,2,0
1193548,odi,TRUE,14,0,0
1193549,odi,TRUE,22,4,1
1193685,test,TRUE,205,15,3
11940,test,TRUE,0,21,0
11943,test,TRUE,0,0,0
11946,test,TRUE,582,12,0
1194744,odi,TRUE,28,1,0
1194795,odi,TRUE,35,2,0
1194959,odi,TRUE,652,56,16
1194959,test,TRUE,953,75,5
11951,test,TRUE,852,64,1
1195662,odi,TRUE,28,2,1
1195662,test,TRUE,114,4,0
1195664,odi,TRUE,321,16,6
1195667,odi,TRUE,312,18,2
1195670,odi,TRUE,204,9,2
1195672,odi,TRUE,391,9,8
1195674,odi,TRUE,201,17,1
1195676,odi,TRUE,34,3,0
1195683,odi,TRUE,43,5,0
1196075,test,TRUE,20,1,0
11963,test,TRUE,0,1,0
1196500,odi,TRUE,139,15,4
11974,odi,TRUE,672,32,3
1199304,odi,TRUE,95,3,3
1199304,test,TRUE,572,17,10
1199426,odi,TRUE,74,3,1
1199434,odi,TRUE,98,3,1
1199434,test,TRUE,23,0,1
1199669,odi,TRUE,22,1,0
1199670,odi,TRUE,135,7,5
1200616,odi,TRUE,23,2,0
1202098,odi,TRUE,55,6,0
1202098,test,TRUE,140,5,0
1203669,odi,TRUE,14,2,0
1203754,odi,TRUE,249,5,11
1203995,odi,TRUE,3,0,0
1205381,odi,TRUE,223,9,4
1205559,odi,TRUE,35,2,1
1206110,odi,TRUE,64,2,0
1206110,test,TRUE,292,12,1
1206188,odi,FALSE,NA,NA,NA
1206190,odi,TRUE,838,36,4
1206769,odi,TRUE,13,0,0
1209110,odi,TRUE,1423,74,30
1209188,test,TRUE,18,0,0
1209190,odi,TRUE,179,14,15
1209196,test,TRUE,347,30,2
1210293,odi,FALSE,NA,NA,NA
1210293,test,TRUE,27,2,0
1210488,odi,TRUE,325,25,8
1210488,test,TRUE,6,1,0
1210511,odi,TRUE,24,1,0
1210511,test,TRUE,120,3,0
1211825,odi,TRUE,31,0,0
1211825,test,TRUE,263,5,0
1212481,odi,TRUE,77,6,3
1212781,test,TRUE,95,4,0
1212829,odi,TRUE,390,34,18
1213979,odi,TRUE,27,2,3
1216149,odi,FALSE,NA,NA,NA
1216159,odi,FALSE,NA,NA,NA
1229251,odi,TRUE,175,11,1
1241201,odi,TRUE,0,0,0
1241218,odi,FALSE,NA,NA,NA
1241238,odi,TRUE,25,1,0
1241253,odi,TRUE,49,3,1
1241265,odi,TRUE,818,55,13
1241271,odi,TRUE,16,1,0
1241277,odi,TRUE,2000,144,83
1241280,odi,TRUE,34,1,0
1243738,odi,TRUE,178,13,8
1243738,test,TRUE,93,9,1
1244154,odi,TRUE,120,15,6
12450,odi,TRUE,231,36,0
12454,odi,TRUE,629,44,6
12454,test,TRUE,2086,110,4
12461,odi,TRUE,39,1,0
1246528,odi,TRUE,11,0,0
12466,odi,TRUE,1092,51,13
12466,test,TRUE,699,21,0
1247759,odi,TRUE,111,6,0
1248188,odi,TRUE,387,17,4
1248189,odi,FALSE,NA,NA,NA
1248357,odi,TRUE,476,24,6
12486,odi,TRUE,232,7,0
12486,test,TRUE,2283,84,9
12490,odi,TRUE,325,13,1
12490,test,TRUE,12103,557,11
12492,test,TRUE,1983,244,9
12504,test,TRUE,0,0,0
12507,odi,TRUE,110,3,1
12507,test,TRUE,718,23,0
12514,odi,TRUE,664,32,6
12514,test,TRUE,4811,195,6
12517,test,TRUE,0,0,0
12518,test,TRUE,60,8,1
12523,test,TRUE,0,1,0
1253296,odi,TRUE,5,1,0
1253296,test,TRUE,37,1,0
1253822,odi,TRUE,1063,60,43
12543,test,TRUE,615,202,7
1256189,odi,TRUE,305,16,6
1256259,odi,TRUE,25,1,0
1256933,odi,TRUE,207,8,4
1256934,odi,TRUE,0,0,0
1261866,odi,TRUE,5,0,0
1263361,odi,TRUE,10,1,0
1263361,test,TRUE,152,9,2
1263691,odi,TRUE,122,11,1
1263691,test,TRUE,182,14,0
1266476,odi,TRUE,628,51,7
1272475,odi,FALSE,NA,NA,NA
1274487,odi,TRUE,390,18,1
1275056,odi,TRUE,82,5,2
1275935,odi,TRUE,6,0,0
1275943,test,TRUE,22,3,0
1276393,odi,TRUE,1425,78,5
1276395,odi,TRUE,14,0,0
1276396,odi,TRUE,80,3,1
1276700,odi,TRUE,1006,79,14
1276719,odi,TRUE,1404,104,14
1276721,odi,TRUE,79,5,0
1276921,odi,TRUE,11,0,1
1276921,test,TRUE,116,6,0
1277627,odi,TRUE,350,20,17
1278203,odi,TRUE,5,0,0
1278203,test,TRUE,24,2,0
1278252,odi,TRUE,281,11,0
1278259,odi,TRUE,60,0,0
1278263,odi,TRUE,134,7,2
12794,odi,TRUE,3,1,0
12800,test,TRUE,205,1,0
12803,odi,TRUE,2903,140,20
12803,test,TRUE,599,22,2
12807,test,TRUE,2,49,0
12812,test,TRUE,40,2,0
12814,test,TRUE,0,4,0
1282006,odi,TRUE,51,2,0
1282247,test,TRUE,12,0,0
12828,test,TRUE,206,16,1
12835,test,TRUE,1,3,0
1283740,odi,FALSE,NA,NA,NA
12845,test,TRUE,41,1,0
