cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
23848,23848,A Codrington,CAN,True,Austin Codrington,Austin Codrington,Austin,Codrington,1975-08-22,True,active,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,Canada,Canada
4611,4611,A Coningham,AUS,True,Arthur Coningham,Arthur Coningham,Arthur,Coningham,1863-07-14,False,inactive,LHB,Left Hand Bat,LFM,Left Arm Fast Medium,Unknown,UKN,Australia,Australia|New South Wales|Queensland
346649,346649,A Conteh,GMB,True,Aniru Conteh,Aniru Conteh,Aniru,Conteh,1988-12-08,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Gambia,Gambia
4632,4632,A Cotter,AUS,True,Albert Cotter,Tibby Cotter,Tibby,Cotter,1883-12-03,False,inactive,RHB,Right Hand Bat,RF,Right Arm Fast,Unknown,UKN,Australia,Australia|New South Wales
10850,10850,A Coxon,ENG,True,Alexander Coxon,Alec Coxon,Alec,Coxon,1916-01-18,False,inactive,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,England,England|Yorkshire
1514454,1514454,A Curavic,CRT,True,Andrija Curavic,Andrija Curavic,Andrija,Curavic,1986-06-18,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Croatia,Croatia
40041,40041,A D'Souza,PAK,True,Antao D'Souza,Antao D'Souza,Antao,D'Souza,1939-01-17,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Pakistan,Pakistan|Karachi|Pakistan International Airlines|Peshawar
574178,574178,A Dananjaya,SL,True,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Akila Dananjaya,Akila,Dananjaya,1993-10-04,True,active,LHB,Left Hand Bat,LB,Leg Break,Bowling allrounder,BLA,Sri Lanka,Sri Lanka|Chennai Braves Jaguars|Chennai Super Kings|Colombo Kaps|Colts Cricket Club|Dambulla|Dambulla Thunders|Durban's Super Giants|Galle Gladiators|Galle Gallants|Mumbai Indians|Sri Lanka Under-23s|St Kitts and Nevis Patriots|Wayamba United
1445612,1445612,A Davidson Soler,ESP,True,Alec Davidson Soler,Davidson Soler,Davidson,Soler,2004-03-21,True,active,RHB,Right Hand Bat,,,Unknown,UKN,Spain,Spain
1476266,1476266,A Dawson,Falk,True,Alan Dawson,Alan Dawson,Alan,Dawson,1968-04-04,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Falkland Islands,Falkland Islands
1382802,1382802,A Daxini,CRT,True,Akshay Daxini,Akshay Daxini,Akshay,Daxini,1993-10-23,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Croatia,Croatia
1343338,1343338,A Denuwan,ITA,True,Achintha Denuwan,Achintha Denuwan,Achintha,Denuwan,2004-11-06,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Italy,Italy
1441681,1441681,A Desai,USA,True,Ayan Desai,Ayan Desai,Ayan,Desai,2003-07-13,True,active,LHB,Left Hand Bat,LFM,Left Arm Fast Medium,Bowler,BL,United States of America,United States of America|Seattle Orcas
1489796,1489796,A Dhabe,SWE,True,Advait Dhabe,Advait Dhabe,Advait,Dhabe,2008-03-03,True,active,LHB,Left Hand Bat,SLA,Slow Left Arm Orthodox,Unknown,UKN,Sweden,Sweden
1489664,1489664,A Dhar,CAY,True,Anubhav Dhar,Anubhav Dhar,Anubhav,Dhar,1988-10-29,True,active,LHB,Left Hand Bat,LBG,Leg Break Googly,Unknown,UKN,Cayman Islands,Cayman Islands
1275733,1275733,A Dhingra,LUX,True,Amit Dhingra,Amit Dhingra,Amit,Dhingra,1998-06-29,True,active,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,Luxembourg,Luxembourg
1321221,1321221,A Dizija,SRB,True,Alexander Dizija,Alexander Dizija,Alexander,Dizija,1992-02-09,True,active,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,Serbia,Serbia
1203881,1203881,A Djorovic,SRB,True,Aleksa Djorovic,Aleksa Djorovic,Aleksa,Djorovic,1993-06-15,True,active,RHB,Right Hand Bat,LWS,Left Arm Wrist Spin,Unknown,UKN,Serbia,Serbia
11919,11919,A Dolphin,ENG,True,Arthur Dolphin,Arthur Dolphin,Arthur,Dolphin,1885-12-24,False,inactive,RHB,Right Hand Bat,,,Unknown,UKN,England,England|Maharaja of Patiala's XI|Yorkshire
1451387,1451387,A Donovan,PHI,True,Andrew Donovan,Andrew Donovan,Andrew,Donovan,2001-12-03,True,active,LHB,Left Hand Bat,RM,Right Arm Medium,Unknown,UKN,Philippines,Philippines
1447949,1447949,A Dowling,BUL,True,Anthony Dowling,Anthony Dowling,Anthony,Dowling,2006-12-29,True,active,RHB,Right Hand Bat,RM,Right Arm Medium,Unknown,UKN,Bulgaria,Bulgaria
11943,11943,A Ducat,ENG,True,Andrew Ducat,Andy Ducat,Andy,Ducat,1886-02-16,False,inactive,RHB,Right Hand Bat,,,Unknown,UKN,England,England|Surrey
