item,value
player_index_rows,8250
player_index_unique_cricinfo_ids,8127
espn_profiles_rows,8125
slim_rows,8250
slim_unique_cricinfo_ids,8127
rows_with_espn_profile,8248
rows_missing_espn_profile,2
unique_ids_missing_espn_profile,2
active_rows,5995
inactive_rows,2253
blank_active_status_rows,2
blank_batting_style_rows,140
blank_bowling_style_rows,1512
