cricinfo_id,unique_player_id,final_player_name,source_country_text
49209,49209,ST Jayasuriya,Asia/SL
49289,49289,DPMD Jayawardene,SL
49289,49289,DPMD Jayawardene,Asia/SL
49636,49636,M Muralidaran,ICC/SL
49636,49636,M Muralidaran,Asia/ICC/SL
49636,49636,M Muralidaran,SL
50710,50710,KC Sangakkara,SL
50710,50710,KC Sangakkara,Asia/ICC/SL
50747,50747,WU Tharanga,SL
50747,50747,WU Tharanga,Asia/SL
50804,50804,WPUJC Vaas,SL
50804,50804,WPUJC Vaas,Asia/SL
51488,51488,AC Cummins,WI
51488,51488,AC Cummins,CAN/WI
51880,51880,CH Gayle,WI
51880,51880,CH Gayle,ICC/WI
52626,52626,XM Marshall,WI
52626,52626,XM Marshall,USA/WI
53115,53115,DJG Sammy,WI
53115,53115,DJG Sammy,WI/World
5390,5390,AC Gilchrist,AUS
5390,5390,AC Gilchrist,AUS/ICC
547092,547092,Ehsan Adil,PAK
547092,547092,Ehsan Adil,PAK/USA
547092,547092,Ehsan Adil,USA
55343,55343,E Chigumbura,ZIM
55343,55343,E Chigumbura,Afr/ZIM
55761,55761,HH Streak,ZIM
55761,55761,HH Streak,Afr/ZIM
55782,55782,GM Strydom,ZIM
55782,55782,GM Strydom,CAY
55787,55787,V Sibanda,ZIM
55787,55787,V Sibanda,Afr/ZIM
55802,55802,AJ Traicos,SA/ZIM
55802,55802,AJ Traicos,ZIM
55805,55805,T Taibu,ZIM
55805,55805,T Taibu,Afr/ZIM
55973,55973,Mohammad Rafique,BAN
55973,55973,Mohammad Rafique,Asia/BAN
55988,55988,Mohammad Ashraful,BAN
55988,55988,Mohammad Ashraful,Asia/BAN
56007,56007,Mashrafe Mortaza,BAN
56007,56007,Mashrafe Mortaza,Asia/BAN
5616,5616,ML Hayden,AUS
5616,5616,ML Hayden,AUS/ICC
56194,56194,Tamim Iqbal,BAN
56194,56194,Tamim Iqbal,BAN/ICC/World
6565,6565,GD McGrath,AUS
6565,6565,GD McGrath,AUS/ICC
6981,6981,DP Nannes,AUS
6981,6981,DP Nannes,AUS/NED
707113,707113,TC Bruce,SCOT
707113,707113,TC Bruce,NZ/SCOT
7133,7133,RT Ponting,AUS
7133,7133,RT Ponting,AUS/ICC
7252,7252,TD Paine,AUS
7252,7252,TD Paine,AUS/World
7502,7502,L Ronchi,NZ
7502,7502,L Ronchi,AUS/NZ
7502,7502,L Ronchi,AUS/ICC/NZ
793463,793463,Rashid Khan,AFG
793463,793463,Rashid Khan,AFG/ICC
8166,8166,SK Warne,AUS
8166,8166,SK Warne,AUS/ICC
892749,892749,TH David,AUS
892749,892749,TH David,AUS/SGP
9254,9254,DR Brown,ENG/SCOT
9254,9254,DR Brown,SCOT
960361,960361,S Lamichhane,NEP
960361,960361,S Lamichhane,ICC/NEP
