item,value
final_csv_rows,8127
final_json_players,8127
final_error_rows,0
status_active,3701
status_retired,2731
status_passed_away,1333
status_unknown,362
with_final_date_of_birth,8091
with_final_date_of_death,1333
with_t20s_bat_matches,5586
with_t20s_bat_runs,5586
with_t20s_bat_avg,5586
with_t20s_bat_sr,5581
with_t20s_bowl_matches,5586
with_t20s_bowl_wkts,5586
with_t20s_bowl_avg,5586
with_t20s_bowl_econ,5586
with_t20s_field_catches,5586
