team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug
216,Australian Cricket Academy,Australian Cricket Academy,,,australian-cricket-academy
284352,Australian Cricketers Association All-Stars,Australian Cricketers Association All-Stars,,,australian-cricketers-association-all-stars
376119,Australian Cricketers Association Masters,Australian Cricketers Association Masters,ACAM,ACAM,australian-cricketers-association-masters
210,Australian Institute of Sport,Australian Institute of Sport,AIS,AIS,australian-institute-of-sport
240,Australian XI,Australian XI,AUSXI,AUSXI,australian-xi
651,Austria Under-17s,Austria Under-17s,,,austria-under-17s
626264,Azeem Rafiq's XI,Azeem Rafiq's XI,AzRaf,AzRaf,azeem-rafiqs-xi
1382905,B-Love Kandy,B-Love Kandy,BLK,BLK,b-love-kandy
1219136,BA Blasting,BA Blasting,BAB,BAB,ba-blasting
378719,BCA President's XI,BCA President's XI,BCAXI,BCAXI,bca-presidents-xi
663,BCB Development Squad,BCB Development Squad,,,bcb-development-squad
3490,BCCSL Academy XI,BCCSL Academy XI,,,bccsl-academy-xi
1087779,Badulla District,Badulla District,BDULA,BDULA,badulla-district
221730,Badureliya Sports Club,Badureliya Sports Club,BSC,BSC,badureliya-sports-club
1076108,Baghlan Province Under-16s,Baghlan Province Under-16s,BaU16,BaU16,baghlan-province-under-16s
60,Bahamas,Bahamas,BHM,BHM,bahamas
363919,Bahamas Under-15s,Bahamas Under-15s,BhU15,BhU15,bahamas-under-15s
304300,Bahamas Under-19s,Bahamas Under-19s,Bhm19,Bhm19,bahamas-under-19s
2650,Bahawalpur,Bahawalpur,BHLPR,BHLPR,bahawalpur
1339056,Bahawalpur Royals,Bahawalpur Royals,BR,BR,bahawalpur-royals
594106,Bahawalpur Stags,Bahawalpur Stags,Stags,Stags,bahawalpur-stags
57,Bahrain,Bahrain,BHR,BHR,bahrain
452386,Bahrain Under-16s,Bahrain Under-16s,,,bahrain-under-16s
652,Bahrain Under-17s,Bahrain Under-17s,BAH17,BAH17,bahrain-under-17s
228126,Bahrain Under-19s,Bahrain Under-19s,Bah19,Bah19,bahrain-under-19s
